pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher.1,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2.4.1.1,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length
SL,2022-10-04,90.1,-1.89,5.13,"Díaz, Edwin",671277,621242,strikeout,swinging_strike,,,,,9,Luis Garcia strikes out swinging.,R,L,R,NYM,WSH,S,2,,2,2,2022,0.24,0.47,0.33,2.13,682928,,,2,8,Top,,,,,621512,,,5.076086395396290,-131.1289210749900,-2.4481955873713400,1.520739333097990,31.232879129319100,-26.44325071949100,3.5,1.73,,,,90.9,2301,7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.47,,0,0,1,0,0,,66,5,Slider,4,2,2,4,2,4,2,4,Standard,Standard,227,0.043,-0.278,,
SL,2022-10-04,90.4,-1.81,5.08,"Díaz, Edwin",671277,621242,,blocked_ball,,,,,14,Luis Garcia strikes out swinging.,R,L,R,NYM,WSH,B,,,1,2,2022,0.08,0.38,0.86,0.52,682928,,,2,8,Top,,,,,621512,,,6.604978443734120,-131.13858097177200,-6.141473806409520,-0.8555146180948170,35.63944587393320,-26.477912178161700,3.55,1.73,,,,91,2301,7.5,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.04,,,,,,,,66,4,Slider,4,2,2,4,2,4,2,4,Standard,Standard,164,0,0.038,,
SL,2022-10-04,89.9,-2.11,5.18,"Díaz, Edwin",671277,621242,,foul,,,,,7,Luis Garcia strikes out swinging.,R,L,R,NYM,WSH,S,,,1,1,2022,0.23,0.44,-0.6,2.05,682928,,,2,8,Top,,,,,621512,,,3.289608293081410,-130.8041018891490,-2.6984297866291300,1.8826475407722700,29.56120962764190,-26.72570299061250,3.5,1.73,,,,90.2,2297,6.6,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.87,,,,,,,,66,3,Slider,4,2,2,4,2,4,2,4,Standard,Standard,200,0,-0.099,,
SL,2022-10-04,89.3,-1.94,5.24,"Díaz, Edwin",671277,621242,,blocked_ball,,,,,14,Luis Garcia strikes out swinging.,R,L,R,NYM,WSH,B,,,0,1,2022,0.11,0.3,0.65,0.72,682928,,,2,8,Top,,,,,621512,,,6.19993112545236,-129.91946099089500,-5.842676651153660,0.07158541547672870,25.18472418786500,-27.837682401822500,3.63,1.72,,,,90.5,2357,6.9,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.61,,,,,,,,66,2,Slider,4,2,2,4,2,4,2,4,Standard,Standard,194,0,0.031,,
SL,2022-10-04,88.6,-2.11,5.29,"Díaz, Edwin",671277,621242,,called_strike,,,,,14,Luis Garcia strikes out swinging.,R,L,R,NYM,WSH,S,,,0,0,2022,-0.06,0.48,0.16,1.4,682928,,,2,8,Top,,,,,621512,,,5.718833131611170,-129.03890017678000,-4.57755160796609,-1.7091070228067500,22.966737360511000,-26.082850040971400,3.67,1.73,,,,89.9,2304,6.7,661094,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.8,,,,,,,,66,1,Slider,4,2,2,4,2,4,2,4,Standard,Standard,228,0,-0.05,,
SL,2022-10-02,92.8,-1.94,5.12,"Díaz, Edwin",661388,621242,strikeout,swinging_strike,,,,,14,William Contreras strikes out swinging.,R,R,R,ATL,NYM,S,2,,0,2,2022,0.13,0.42,1.38,1.49,,,,2,8,Bot,,,,,621512,,,8.360262944965610,-135.02482832171000,-4.540111250675760,-0.06733616657738120,27.506625388754100,-26.201792398268200,3.59,1.72,,,,94.8,2373,7.3,661465,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.18,,0,0,1,0,0,,70,3,Slider,5,3,5,3,3,5,5,3,Standard,Standard,198,-0.003,-0.059,,
FF,2022-10-02,100.4,-1.99,4.98,"Díaz, Edwin",661388,621242,,called_strike,,,,,3,William Contreras strikes out swinging.,R,R,R,ATL,NYM,S,,,0,1,2022,-1.07,1.08,0.71,3.05,,,,2,8,Bot,,,,,621512,,,10.156637185988200,-145.83261702965200,-2.527553842186970,-17.77136686689930,36.430332923478200,-16.364551107719900,3.59,1.76,,,,101.4,2372,7.1,661465,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.41,,,,,,,,70,2,4-Seam Fastball,5,3,5,3,3,5,5,3,Standard,Standard,238,0,-0.023,,
SL,2022-10-02,91.4,-1.95,5.28,"Díaz, Edwin",661388,621242,,called_strike,,,,,5,William Contreras strikes out swinging.,R,R,R,ATL,NYM,S,,,0,0,2022,0.18,0.51,-0.05,2.41,,,,2,8,Bot,,,,,621512,,,4.46483103122861,-133.1173380571000,-2.503863327171880,1.1880674463261500,27.993454232661500,-25.8278692790802,3.53,1.65,,,,92.8,2216,7,661465,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.46,,,,,,,,70,1,Slider,5,3,5,3,3,5,5,3,Standard,Standard,216,0,-0.017,,
SL,2022-10-02,91,-1.94,5.34,"Díaz, Edwin",518595,621242,field_out,hit_into_play,,,,,6,Travis d'Arnaud lines out to center fielder Brandon Nimmo.,R,R,R,ATL,NYM,X,8,line_drive,0,0,2022,0.11,0.36,0.44,2.28,,,,1,8,Bot,121.53,68.09,,,621512,,,5.829837953023930,-132.4708569033090,-2.5422329804608200,-0.022106409884636400,28.94915435731970,-27.64438413164680,3.37,1.5,324,91.8,23,92,2288,6.9,661465,621242,621512,624413,643446,500871,596019,592192,607043,571980,53.56,0.183,0.218,0,1,0,0,3,69,1,Slider,5,3,5,3,3,5,5,3,Standard,Standard,204,-0.005,-0.156,,
SL,2022-09-28,92,-1.91,4.97,"Díaz, Edwin",542932,621242,strikeout,swinging_strike,,,,,14,Jon Berti strikes out swinging.,R,R,R,NYM,MIA,S,2,,0,2,2022,0.31,0.61,1.33,1.42,,,,2,9,Top,,,,,621512,,,7.6459868352945600,-133.6152804382670,-4.45309977186766,1.8263718622224300,32.85421801364190,-24.060012947680400,3.17,1.47,,,,92.5,2390,7,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.48,,0,0,1,0,0,,71,3,Slider,4,4,4,4,4,4,4,4,Standard,Standard,197,0.032,-0.059,,
SL,2022-09-28,91.7,-1.94,4.96,"Díaz, Edwin",542932,621242,,swinging_strike,,,,,14,Jon Berti strikes out swinging.,R,R,R,NYM,MIA,S,,,0,1,2022,0.33,0.57,1.66,1.64,,,,2,9,Top,,,,,621512,,,8.607190222828290,-133.28139700243800,-3.7932512866026500,1.9519200452247200,30.828516358185000,-24.793064642906900,3.17,1.47,,,,93.8,2382,7.8,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,52.71,,,,,,,,71,2,Slider,4,4,4,4,4,4,4,4,Standard,Standard,218,0,-0.023,,
FF,2022-09-28,98.8,-2.12,4.75,"Díaz, Edwin",542932,621242,,called_strike,,,,,7,Jon Berti strikes out swinging.,R,R,R,NYM,MIA,S,,,0,0,2022,-1.22,1.08,-0.62,1.82,,,,2,9,Top,,,,,621512,,,7.068018622008190,-143.57639267913700,-5.113080477817540,-18.486334943677500,36.00618695832930,-16.20239571859680,3.3,1.47,,,,100.2,2327,7.3,662400,621242,621512,624413,641645,500871,596019,592192,607043,643446,53.15,,,,,,,,71,1,4-Seam Fastball,4,4,4,4,4,4,4,4,Standard,Standard,228,0,-0.017,,
